OverallQual,GrLivArea,YearBuilt,YearRemodAdd,TotalBsmtSF,GarageCars,FullBath,LotArea,Neighborhood,HouseStyle,ExterQual,KitchenQual,CentralAir,GarageType,SalePrice
7,1710,2003,2003,856,2,2,8450,CollgCr,2Story,Gd,Gd,Y,Attchd,208500
6,1262,1976,1976,1262,2,2,9600,Veenker,1Story,TA,TA,Y,Attchd,181500
7,1786,2001,2002,920,2,2,11250,CollgCr,2Story,Gd,Gd,Y,Attchd,223500
7,1717,1915,1970,756,3,1,9550,Crawfor,2Story,TA,Gd,Y,Detchd,140000
8,2198,2000,2000,1145,3,2,14260,NoRidge,2Story,Gd,Gd,Y,Attchd,250000
5,1362,1993,1995,796,2,1,14115,Mitchel,1.5Fin,TA,TA,Y,Attchd,143000
8,1694,2004,2005,1686,2,2,10084,Somerst,1Story,Gd,Gd,Y,Attchd,307000
7,2090,1973,1973,1107,2,2,10382,NWAmes,2Story,TA,TA,Y,Attchd,200000
7,1774,1931,1950,952,2,2,6120,OldTown,1.5Fin,TA,TA,Y,Detchd,129900
5,1077,1939,1950,991,1,1,7420,BrkSide,1.5Unf,TA,TA,Y,Attchd,118000
5,1040,1965,1965,1040,1,1,11200,Sawyer,1Story,TA,TA,Y,Detchd,129500
9,2324,2005,2006,1175,3,3,11924,NridgHt,2Story,Ex,Ex,Y,BuiltIn,345000
5,912,1962,1962,912,1,1,12968,Sawyer,1Story,TA,TA,Y,Detchd,144000
7,1494,2006,2007,1494,3,2,10652,CollgCr,1Story,Gd,Gd,Y,Attchd,279500
6,1253,1960,1960,1253,1,1,10920,NAmes,1Story,TA,TA,Y,Attchd,157000
7,854,1929,2001,832,2,1,6120,BrkSide,1.5Unf,TA,TA,Y,Detchd,132000
6,1004,1970,1970,1004,2,1,11241,NAmes,1Story,TA,TA,Y,Attchd,149000
4,1296,1967,1967,0,2,2,10791,Sawyer,1Story,TA,TA,Y,CarPort,90000
5,1114,2004,2004,1114,2,1,13695,SawyerW,1Story,TA,Gd,Y,Detchd,159000
5,1339,1958,1965,1029,1,1,7560,NAmes,1Story,TA,TA,Y,Attchd,139000
8,2376,2005,2006,1158,3,3,14215,NridgHt,2Story,Gd,Gd,Y,BuiltIn,325300
7,1108,1930,1950,637,1,1,7449,IDOTRR,1.5Unf,TA,Gd,Y,Attchd,139400
8,1795,2002,2002,1777,2,2,9742,CollgCr,1Story,Gd,Gd,Y,Attchd,230000
5,1060,1976,1976,1040,2,1,4224,MeadowV,1Story,TA,TA,Y,Attchd,129900
5,1060,1968,2001,1060,1,1,8246,Sawyer,1Story,TA,Gd,Y,Attchd,154000
8,1600,2007,2007,1566,3,2,14230,NridgHt,1Story,Gd,Gd,Y,Attchd,256300
5,900,1951,2000,900,2,1,7200,NAmes,1Story,TA,Gd,Y,Detchd,134800
8,1704,2007,2008,1704,3,2,11478,NridgHt,1Story,Gd,Gd,Y,Attchd,306000
5,1600,1957,1997,1484,1,1,16321,NAmes,1Story,TA,TA,Y,Attchd,207500
4,520,1927,1950,520,1,1,6324,BrkSide,1Story,TA,Fa,N,Detchd,68500
4,1317,1920,1950,649,1,1,8500,IDOTRR,2Story,TA,TA,N,Detchd,40000
5,1228,1966,2006,1228,1,1,8544,Sawyer,1Story,TA,Gd,Y,Attchd,149350
8,1234,2007,2007,1234,2,2,11049,CollgCr,1Story,Gd,Gd,Y,Attchd,179900
5,1700,1959,1959,1398,2,1,10552,NAmes,1Story,TA,Gd,Y,Attchd,165500
9,1561,2005,2005,1561,2,2,7313,NridgHt,1Story,Ex,Ex,Y,Attchd,277500
8,2452,2004,2005,1117,3,3,13418,NridgHt,2Story,Gd,Gd,Y,BuiltIn,309000
5,1097,1994,1995,1097,2,1,10859,CollgCr,1Story,TA,TA,Y,Attchd,145000
5,1297,1954,1990,1297,2,1,8532,NAmes,1Story,TA,TA,Y,Attchd,153000
5,1057,1953,2007,1057,1,1,7922,NAmes,1Story,TA,Gd,Y,Detchd,109000
